Alérgenos,Cantidad Neta:,Cantidad neta del alimento (Formato texto libre):,Código EAN Producto:,Declaración Nutricional:,Descripción del rango de raciones:,Descripción producto,Descripción:,Dirección Proveedor:,Instrucciones Uso:,Lista Ingredientes:,Marca:,Menciones Obligatorias:,Modo de empleo:,Nombre Alimento:,Nombre Proveedor:,Pais Origen:,Peso Neto Escurrido:,Propiedades Saludables:,Variedad:,child_1_cat,child_2_cat,child_3_cat,child_4_cat,child_5_cat,price,price_norm,product_id,root_cat
['anchoa'],300 g,,08480000331557,,," ACEITUNA RELLENA ANCHOA SELECCION, HACENDADO, LATA 300 g ESCURRIDO 130 g",Aceitunas verdes rellenas de anchoa Selección,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas, sal, relleno pasta de anchoa 6% (anchoa  y estabilizante E-401),potenciadores del sabor:E-621 y E-635, acidulante:ácido cítrico, antioxidante: ácido ascórbico, estabilizador:cloruro de calcio. Contiene pescado. Producto pasteurizado. (*) Referencia al peso neto escurrido","['Aceitunas', ' sal', ' relleno pasta de anchoa 6% (anchoa  y estabilizante E-401)', 'potenciadores del sabor:E-621 y E-635', ' acidulante:ácido cítrico', ' antioxidante: ácido ascórbico', ' estabilizador:cloruro de calcio. Contiene pescado. Producto pasteurizado. (*) Referencia al peso neto escurrido']",HACENDADO,,,Aceitunas verdes rellenas de anchoa Selección,"La Española Alimentaria Alcoyana, S.A.",,130 g,,,ACEITUNAS,RELLENAS,,,,"1,15","1 KILO: 8,85 Euros",33155,APERITIVOS
['anchoa'],360 g,120X3,08480000330789,,," ACEITUNA RELLENA ANCHOA SUAVE, HACENDADO, LATA PACK 3 u - 360 g ESCURRIDO 150 g",Aceitunas manzanilla rellenas de anchoa Suaves 25% menos de sal,"c/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas, sal, relleno pasta de anchoa  6% (anchoa  y estabilizador E-401),potenciadores del sabor:E-621 , acidulante:ácido cítrico, antioxidante: ácido ascórbico. Estabilizador: Cloruro de calcio. Contiene pescado. Producto pasteurizado","['Aceitunas', ' sal', ' relleno pasta de anchoa  6% (anchoa  y estabilizador E-401)', 'potenciadores del sabor:E-621 ', ' acidulante:ácido cítrico', ' antioxidante: ácido ascórbico. Estabilizador: Cloruro de calcio. Contiene pescado. Producto pasteurizado']",HACENDADO,,,Aceitunas manzanilla rellenas de anchoa Suaves 25% menos de sal,"La Española Alimentaria Alcoyana, S.A.",,150 g,,,ACEITUNAS,RELLENAS,,,,"1,80","1 KILO: 12,00 Euros",33078,APERITIVOS
['anchoa'],350 g,,08480000330246,,," ACEITUNA RELLENA ANCHOA SUAVE, HACENDADO, LATA 350 g ESCURRIDO 150 g",Aceitunas manzanilla rellenas de anchoa Suaves 25% menos de sal,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas, sal, relleno pasta de anchoa  6% (anchoa  y estabilizador  E-401),potenciadores del sabor:E-621, acidulante:ácido cítrico, antioxidante: ácido ascórbico. Estabilizador: cloruro de calcio . Contiene pescado. Producto Pasteurizado.","['Aceitunas', ' sal', ' relleno pasta de anchoa  6% (anchoa  y estabilizador  E-401)', 'potenciadores del sabor:E-621', ' acidulante:ácido cítrico', ' antioxidante: ácido ascórbico. Estabilizador: cloruro de calcio . Contiene pescado. Producto Pasteurizado.']",HACENDADO,,,Aceitunas Manzanilla Rellenas de Anchoa Suaves 25 % menos de sal,"La Española Alimentaria Alcoyana, S.A.",,150 g,,,ACEITUNAS,RELLENAS,,,,"0,84","1 KILO: 5,60 Euros",33024,APERITIVOS
"['anchoa', 'anchoa']",1050 g,350x3,08480000330833,,," ACEITUNA RELLENA ANCHOA, HACENDADO, LATA PACK 3 u - 1050 g ESCURRIDO 450 g",Aceitunas verdes rellenas de anchoa,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Consumir dentro de los 7 días después de la apertura. Una vez abierto , conservar cerrado en el frigorífico con el máximo de líquido posible.","['Aceitunas', ' sal', '  relleno pasta de anchoa 6%* (anchoa y estabilizador E-401)', ' potenciadores del sabor: E-621 y E-635', ' acidulante: ácido cítrico', ' antioxidante: ácido ascórbico. Estabilizador: Cloruro de Calcio. * Referencia al peso neto escurrido. Contiene pescado']",HACENDADO,,,Aceitunas verdes rellenas de anchoa - Categoria Selecta,"La Española Alimentaria Alcoyana, S.A.",,450 g,,,ACEITUNAS,RELLENAS,,,,"1,98","1 KILO: 4,40 Euros",33083,APERITIVOS
,1050 g,350x3,08480000331052,,," ACEITUNA RELLENA ANCHOA, HACENDADO, LATA PACK 3 u - 1050 g ESCURRIDO 450 g",Aceitunas verdes rellenas de anchoa,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)",,"Aceitunas, sal,  relleno pasta de anchoa 6% (anchoa y estabilizador E-401), potenciadores del sabor: E-621 y E-635, acidulante: ácido cítrico, antioxidante: ácido ascórbico.Estabilizador: Cloruro de calcio",HACENDADO,,,,"La Española Alimentaria Alcoyana, S.A.",,450 g,,,ACEITUNAS,RELLENAS,,,,"1,98","1 KILO: 4,40 Euros",33083,APERITIVOS
"['anchoa', 'anchoa']",720 g,120X6,08480000330710,,," ACEITUNA RELLENA ANCHOA, HACENDADO, LATA PACK 6 u - 720 g ESCURRIDO 300 g",Aceitunas verdes rellenas de anchoa,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Consumir dentro de los 7 días después de la apertura. Una vez abierto , conservar cerrado en el frigorífico con el máximo de líquido posible.","['Aceitunas', ' sal', '  relleno pasta de anchoa 6%* (anchoa y estabilizador E-401)', ' potenciadores del sabor: E-621 .acidulante: ácido cítrico', ' antioxidante: ácido ascórbico. Estabilizador: Cloruro de Calcio. * Referencia al peso neto escurrido.  Contiene pescado']",HACENDADO,,,Aceitunas verdes rellenas de anchoa - Categoria Selecta,"La Española Alimentaria Alcoyana, S.A.",,300 g,,,ACEITUNAS,RELLENAS,,,,"2,15","1 KILO: 7,17 Euros",33071,APERITIVOS
,720 g,120X6,08480000331069,,," ACEITUNA RELLENA ANCHOA, HACENDADO, LATA PACK 6 u - 720 g ESCURRIDO 300 g",Aceitunas verdes rellenas de anchoa,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)",,"Aceitunas, sal,  relleno pasta de anchoa 6% (anchoa y estabilizador E-401), potenciadores del sabor: E-621 y E-635, acidulante: ácido cítrico, antioxidante: ácido ascórbico.Estabilizador: Cloruro de calcio",HACENDADO,,,,"La Española Alimentaria Alcoyana, S.A.",,300 g,,,ACEITUNAS,RELLENAS,,,,"2,15","1 KILO: 7,17 Euros",33071,APERITIVOS
[],350 g,,08480000331786,,," ACEITUNA RELLENA JALAPEÑO (PICANTE), HACENDADO, LATA 350 g  ESCURRIDO 150 g",Aceitunas verdes rellenas de jalapeño.,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas verdes aderezadas, relleno de jalapeño 6% (jalapeño y estabilizador: Goma xantana), sal, potenciadores del sabor E-621 y E-635, acidulante: ácido cítrico, antioxidante: ácido ascórbico. Estabilizador: Cloruro de calcio. Producto Pasteurizado","['Aceitunas verdes aderezadas', ' relleno de jalapeño 6% (jalapeño y estabilizador: Goma xantana)', ' sal', ' potenciadores del sabor E-621 y E-635', ' acidulante: ácido cítrico', ' antioxidante: ácido ascórbico. Estabilizador: Cloruro de calcio. Producto Pasteurizado']",HACENDADO,,,Aceitunas verdes rellenas de jalapeño.,"La Española Alimentaria Alcoyana, S.A.",,150 g,,,ACEITUNAS,RELLENAS,,,,"1,25","1 KILO: 8,33 Euros",33178,APERITIVOS
[],370 ML,3x50g,08480000331267,,Contiene 3 raciones de 50g de producto escurrido," ACEITUNA RELLENA LIMON, HACENDADO, LATA 350 g ESCURRIDO 150 g",Aceitunas rellenas de limón Hacendado 350g,"Pol. Industrial Los Romerales, parcela 89-92, apdo. correos. 342. Código postal 30520 Jumilla-Murcia.",,"['Aceitunas verdes', ' agua', ' pasta de limón 6% (limón y estabilizante E-401)', ' potenciador de sabor E-621', ' acidulantes E-330 y E-270 y antioxidante E-300. PASTEURIZADO']",Hacendado,,,Aceitunas rellenas de limón,"Olispania Aceitunas, S.L",España,150 g,"Aceitunas verdes, agua, pasta de limón 6% (limón y estabilizante E-401), potenciador de sabor E-621, acidulantes E-330 y E-270 y antioxidante E-300. PASTEURIZADO",,ACEITUNAS,RELLENAS,,,,"1,30","1 KILO: 8,67 Euros",33126,APERITIVOS
[],350 g,,08480000331250,,," ACEITUNA RELLENA PIMIENTO ASADO, HACENDADO, LATA 350 g ESCURRIDO 150 g",Aceitunas verdes rellenas de pimiento rojo asado,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas manzanilla verdes aderezadas, sal, relleno 6% (pimiento rojo asado) , potenciadores del sabor: E-621 y E-635, acidulante, ácido cítrico, antioxidante: ácido ascórbico y Estabilizador: Cloruro de calcio. Producto pasteurizado.","['Aceitunas manzanilla verdes aderezadas', ' sal', ' relleno 6% (pimiento rojo asado) ', ' potenciadores del sabor: E-621 y E-635', ' acidulante', ' ácido cítrico', ' antioxidante: ácido ascórbico y Estabilizador: Cloruro de calcio. Producto pasteurizado.']",HACENDADO,,,Aceitunas verdes rellenas de pimiento rojo asado,"La Española Alimentaria Alcoyana, S.A.",,150 g,,,ACEITUNAS,RELLENAS,,,,"0,90","1 KILO: 6,00 Euros",33125,APERITIVOS
