Alérgenos,Cantidad Neta:,Cantidad neta del alimento (Formato texto libre):,Código EAN Producto:,Declaración Alérgeno:,Declaración Nutricional:,Descripción de la variante de producción:,Descripción del rango de raciones:,Descripción producto,Descripción:,Dirección Proveedor:,Fecha efectiva de la variante de producción:,Instrucciones Uso:,Lista Ingredientes:,Marca:,Menciones Obligatorias:,Modo de empleo:,Nombre Alimento:,Nombre Proveedor:,Número Raciones:,Pais Origen:,Peso Neto:,Porcentaje Alcohol:,Variedad:,child_1_cat,child_2_cat,child_3_cat,child_4_cat,child_5_cat,price,product_id,root_cat
[],1 LT,,08480000042408,,,,," ACEITE OLIVA  SABOR SUAVE TAPON ROJO, HACENDADO, BOTELLA 1 l",HACENDADO ACEITE OLIVA  SUAVE 1L,"Avda. Josep Trepat, s/n 25300 TARREGA (LLEIDA)",,"CONSERVAR EN UN LUGAR FRESCO, SECO Y PROTEGIDO DE LA LUZ",['ACEITE DE OLIVA REFINADO Y ACEITE DE OLIVA VIRGEN'],HACENDADO,"El aceite a bajas temperaturas puede presentar enturbamientos, que en nada afectan a sus características. Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas.",,ACEITE DE OLIVA,"BAIEO, SAU",,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4240,ALIMENTACION
[],1 LT,,08480000042408,,,,," ACEITE OLIVA  SABOR SUAVE TAPON ROJO, HACENDADO, BOTELLA 1 l","Aceite de Oliva Suave (0,4º) 1L",Ctra. La Carolina Km 29. 23220 Vilches (Jaén),,"El aceite a bajas temperaturas puede presentar enturbiamientos, que en nada afectan a sus características.",['ACEITE DE OLIVA REFINADO Y ACEITE DE OLIVA VIRGEN'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y aceites obtenidos directamente de aceitunas.,,,Aceites del Sur- Coosur S.A.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4240,ALIMENTACION
[],1 LT,,08480000042408,,,,," ACEITE OLIVA  SABOR SUAVE TAPON ROJO, HACENDADO, BOTELLA 1 l",Aceite de Oliva Hacendado Suave 1L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Conservar al abrigo del calor y de la luz,['ACEITE DE OLIVA REFINADO Y ACEITE DE OLIVA VIRGEN'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas,Cocinar y sazonar,,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4240,ALIMENTACION
[],1 LT,,08480000042408,,,,," ACEITE OLIVA  SABOR SUAVE TAPON ROJO, HACENDADO, BOTELLA 1 l",Aceite De Oliva Suave Hacendado 1L PET,"C/VALENCIA, 5; TABERNES BLANQUES 46016 - VALENCIA",,"Conservar en lugar fresco, seco y alejado de la luz.",['ACEITE DE OLIVA REFINADO Y ACEITE DE OLIVA VIRGEN'],Hacendado,"Procedente principalmente de las variedades Picual, Hojiblanca y Arbequino.",,,MERCADONA,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4240,ALIMENTACION
,1 LT,,08480000042408,,,,," ACEITE OLIVA  SABOR SUAVE TAPON ROJO, HACENDADO, BOTELLA 1 l",ACEITE OLIVA SUAVE HACENDADO PET 1 LITRO,"Pol. Ind. San Cibrao, C/6, Nº 18 32901 San Cibrao das Viñas Ourense",,,"Aceite de oliva refinado, aceite de oliva virgen extra",HACENDADO,,,,Aceites Abril S.L.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4240,ALIMENTACION
[],750 ML,,08480000047069,,,,," ACEITE OLIVA VIRGEN EXTRA GRAN SELECCION (TAPON DOSIFICADOR), HACENDADO, BOTELLA CRISTAL 750 cc",Aceite de Oliva Virgen Extra Gran Selección Cooperativa Hacendado 750 ml,"P.I. Sierra Sur, C/El Olivo s/n, 41560 Estepa, Sevilla.",,El aceite a bajas temperaturas puede presentar enturbiamientos que en nada afecta a sus características. Aceite de oliva de categoría superior obtenido directamente de aceitunas y sólo mediante procedimientos mecánicos. Origen España( cooperativas asociadas a Oloestepa),['Aceite de Oliva Virgen Extra'],Hacendado,Aceite de Oliva Virgen Extra,,Aceite de Oliva Virgen Extra,Oleoestepa S.C.A.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 4,92 Euros",4706,ALIMENTACION
[],100 ML,,08480000047205,,,,," ACEITE OLIVA VIRGEN EXTRA MONODOSIS, HACENDADO, TARRINAS PACK 10 x 10 cc - 100 cc",ACEITE DE OLIVA ACEITE DE OLIVA VIRGEN EXTRA 100 ML HACENDADO,"PARQUE METROPOLITANO, AVENIDA DE INCAR Nº8 18130 ESCÚZAR (GRANADA)",,100% aceite de oliva virgen extra,['100% aceite de oliva virgen extra'],HACENDADO,,,ACEITE DE OLIVA,ACEITES MAEVA S.L.U,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 13,50 Euros",4720,ALIMENTACION
[],200 ML,,08480000047182,ACEITE DE OLIVA VIRGEN EXTRA,,,," ACEITE OLIVA VIRGEN EXTRA SPRAY, HACENDADO, BOTE 200 cc",ACEITE DE OLIVA ACEITE DE OLIVA VIRGEN EXTRA HACENDADO 200 MLT,"Parque Metropolitano, Avda. de Incar 8, 18130 Escuzar Granada",,no contiene alergenos,['ACEITE DE OLIVA VIRGEN EXTRA'],HACENDADO,,,ACEITE DE OLIVA,ACEITES MAEVA S.L.U,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 10,75 Euros",4718,ALIMENTACION
[],3 LT,,08480000047175,,,,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 l",Aceite de Oliva Virgen Extra 3L,Ctra. La Carolina Km 29. 23220 Vilches (Jaén),,"El aceite a bajas temperaturas puede presentar enturbiamientos, que en nada afectan a sus características.",['Aceite de oliva virgen extra'],Hacendado,Aceite de oliva de categoría superior obtenido directamente de aceitunas y sólo mediante procedimientos mecánicos. Producto de España,,Aceite de Oliva Virgen Extra,Aceites del Sur- Coosur S.A.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 3,55 Euros",4717,ALIMENTACION
[],3000 ML,,08480000047175,no contiene alérgenos,,,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 l",ACEITE DE OLIVA ACEITE DE OLIVA VIRGEN EXTRA HACENDADO 3000 MLT,"Parque Metropolitano, Avda. de Incar 8, 18130 Escuzar Granada",,conservar al abrigo de la luz y el calor,['Aceite de oliva virgen extra'],HACENDADO,,,,ACEITES MAEVA S.L.U,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 3,55 Euros",4717,ALIMENTACION
[],3 LT,,08480000047175,,,,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 l",Aceite de Oliva Virgen Extra Hacendado 3l,"P.I. Sierra Sur, C/El Olivo s/n, 41560 Estepa, Sevilla.",,Conservar al abrigo del calor y de la luz.,['Aceite de oliva virgen extra'],Hacendado,El aceite a bajas temperaturas puede presentar enturbiamientos que en nada afecta a sus características. Aceite de oliva de categoría superior obtenido directamente de aceitunas y sólo mediante procedimientos mecánicos. Origen España( cooperativas asociadas a Oloestepa),,,Oleoestepa S.C.A.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 3,55 Euros",4717,ALIMENTACION
[],3 LT,,08480000047175,,,16.2398/SRSI 16.4125/J,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 l",Aceite de Oliva Virgen Extra 3L,Ctra. Rinconada-Brenes Km 11.700 41310 Brenes-Sevilla,,Conservar al abrigo del calor y de la luz,['Aceite de oliva virgen extra'],Hacendado,Aceite de categoria superior obtenido directamente de aceitunas y sólo mediante procedimentos mecânicos.,,,Sovena España S.A.U,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 3,55 Euros",4717,ALIMENTACION
,3 LT,,08480000047175,,,,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 l",Aceite De Oliva Virgen Extra Hacendado 3L PET,"C/VALENCIA, 5; TABERNES BLANQUES 46016 - VALENCIA",,,Aceite De Oliva Virgen Extra,Hacendado,"Procedente principalmente de las variedades Picual, Hojiblanca y Arbequino.",,,MERCADONA,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 3,55 Euros",4717,ALIMENTACION
[],5 LT,,08480000047410,,,,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***SUJETO A DISPONIBILIDAD***, HACENDADO, GARRAFA 5 l",Aceite de Oliva Virgen Extra Hacendado 5L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Aceite de oliva de categoría superior obtenido directamente de aceitunas y solo mediante procedimientos mecánicos,['Ingredientes: Aceite de Oliva Virgen Extra'],Hacendado,Ingredientes: Aceite de Oliva Virgen Extra,Conservar al abrigo del calor y de la luz,Aceite de Oliva Virgen Extra,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 3,19 Euros",4741,ALIMENTACION
[],1 LT,,08480000047403,,,,," ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO, HACENDADO, BOTELLA 1 l",HACENDADO ACEITE OLIVA V EXTRA  1L,"Avda. Josep Trepat, s/n 25300 TARREGA (LLEIDA)",,CONSERVAR AL ABRIGO DEL CALOR Y DE LA LUZ,['ACEITE DE OILVA VIRGE EXTRA'],HACENDADO,"El aceite a bajas temperaturas puede presentar enturbamientos, que en nada afectan a sus características. Aceite de oliva de categoria superior obtenido directamente de aceitunas y sólo mediante procedimientos mecánicos.",,ACEITE DE OLIVA VIRGEN EXTRA,"BAIEO, SAU",,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4740,ALIMENTACION
